2023-03-15 18:07:30.941 [main] INFO  org.calculator.Calculate - [FACTORIAL] - 4
2023-03-15 18:07:30.948 [main] INFO  org.calculator.Calculate - [RESULT - FACTORIAL] - 24
2023-03-15 18:07:45.370 [main] INFO  org.calculator.Calculate - [SQ ROOT] - 36.0
2023-03-15 18:07:45.373 [main] INFO  org.calculator.Calculate - [RESULT - SQ ROOT] - 6.0
2023-03-15 18:07:50.377 [main] INFO  org.calculator.Calculate - [POWER - 4.0 RAISED TO] 5.0
2023-03-15 18:07:50.377 [main] INFO  org.calculator.Calculate - [RESULT - POWER] - 1024.0
2023-03-15 18:08:23.734 [main] INFO  org.calculator.Calculate - [NATURAL LOG] - -10.0
2023-03-15 18:08:23.738 [main] INFO  org.calculator.Calculate - [RESULT - NATURAL LOG] - NaN
2023-03-16 22:14:38.584 [main] INFO  org.calculator.Calculate - [SQ ROOT] - 16.0
2023-03-16 22:14:38.586 [main] INFO  org.calculator.Calculate - [RESULT - SQ ROOT] - 4.0
2023-03-16 22:14:38.586 [main] INFO  org.calculator.Calculate - [SQ ROOT] - 1.0
2023-03-16 22:14:38.587 [main] INFO  org.calculator.Calculate - [RESULT - SQ ROOT] - 1.0
2023-03-16 22:14:38.587 [main] INFO  org.calculator.Calculate - [SQ ROOT] - 81.0
2023-03-16 22:14:38.587 [main] INFO  org.calculator.Calculate - [RESULT - SQ ROOT] - 9.0
2023-03-16 22:14:38.587 [main] INFO  org.calculator.Calculate - [SQ ROOT] - 36.0
2023-03-16 22:14:38.588 [main] INFO  org.calculator.Calculate - [RESULT - SQ ROOT] - 6.0
2023-03-16 22:14:38.588 [main] INFO  org.calculator.Calculate - [SQ ROOT] - 3.0
2023-03-16 22:14:38.589 [main] INFO  org.calculator.Calculate - [RESULT - SQ ROOT] - 1.7320508075688772
2023-03-16 22:14:38.589 [main] INFO  org.calculator.Calculate - [SQ ROOT] - 4.0
2023-03-16 22:14:38.589 [main] INFO  org.calculator.Calculate - [RESULT - SQ ROOT] - 2.0
2023-03-16 22:14:38.589 [main] INFO  org.calculator.Calculate - [SQ ROOT] - 81.0
2023-03-16 22:14:38.590 [main] INFO  org.calculator.Calculate - [RESULT - SQ ROOT] - 9.0
2023-03-16 22:14:38.590 [main] INFO  org.calculator.Calculate - [SQ ROOT] - 36.0
2023-03-16 22:14:38.590 [main] INFO  org.calculator.Calculate - [RESULT - SQ ROOT] - 6.0
2023-03-16 22:14:38.591 [main] INFO  org.calculator.Calculate - [NATURAL LOG] - 1.0
2023-03-16 22:14:38.591 [main] INFO  org.calculator.Calculate - [RESULT - NATURAL LOG] - 0.0
2023-03-16 22:14:38.599 [main] INFO  org.calculator.Calculate - [POWER - 2.0 RAISED TO] 3.0
2023-03-16 22:14:38.599 [main] INFO  org.calculator.Calculate - [RESULT - POWER] - 8.0
2023-03-16 22:14:38.599 [main] INFO  org.calculator.Calculate - [POWER - 3.0 RAISED TO] 3.0
2023-03-16 22:14:38.600 [main] INFO  org.calculator.Calculate - [RESULT - POWER] - 27.0
2023-03-16 22:14:38.600 [main] INFO  org.calculator.Calculate - [POWER - 4.0 RAISED TO] 3.0
